user_id,product_id,category,brand,price,rating,purchase_count,text_feature,rating_norm,purchase_norm,value_for_money,value_norm,price_norm
2633,ELECTRO_1133,laptop,xiaomi,37710,3,9,laptop xiaomi,0.5,0.9,7.955449482895784e-05,0.0075417409085796385,-0.865377975670944
631,ELECTRO_6595,smartwatch,xiaomi,79501,2,6,smartwatch xiaomi,0.25,0.6000000000000001,2.515691626520421e-05,0.0019131509741324177,0.10179502376246286
1261,ELECTRO_4275,smartwatch,sony,143595,4,2,smartwatch sony,0.75,0.2,2.785612312406421e-05,0.002192441504297552,1.5851284263057084
2513,ELECTRO_8026,headphones,apple,31493,1,8,headphones apple,0.0,0.8,3.175308798780681e-05,0.0025956656511453586,-1.0092585848326652
1894,ELECTRO_8453,mobile,samsung,7471,1,5,mobile samsung,0.0,0.5,0.0001338508901084192,0.013159861273782445,-1.5652019648041733
372,ELECTRO_5017,accessories,samsung,71417,5,2,accessories samsung,1.0,0.2,7.001134183737765e-05,0.006554298153046962,-0.0852937400244688
1761,ELECTRO_1344,tablet,xiaomi,89409,2,10,tablet xiaomi,0.25,1.0,2.2369112729143598e-05,0.001624693227729296,0.3310967891757383
2017,ELECTRO_5378,laptop,hp,41446,1,2,laptop hp,0.0,0.2,2.4127780726728754e-05,0.0018066649487249449,-0.7789153802345292
1140,ELECTRO_9636,mobile,apple,119464,5,4,mobile apple,1.0,0.4,4.1853612803857226e-05,0.0036407804120096835,1.0266624491975382
695,ELECTRO_5330,laptop,sony,58458,5,5,laptop sony,1.0,0.5,8.553149269561052e-05,0.008160188841717425,-0.38520508217128313
396,ELECTRO_3132,mobile,samsung,130674,2,0,mobile samsung,0.25,0.0,1.530526348011081e-05,0.0008937873339134414,1.2860965216927762
1167,ELECTRO_9566,accessories,dell,39842,2,8,accessories dell,0.25,0.8,5.019828321871392e-05,0.004504214578445876,-0.8160369014015553
1633,ELECTRO_7031,laptop,oneplus,9120,5,1,laptop oneplus,1.0,0.1,0.0005482456140350877,0.05603783550655191,-1.5270390044522868
2964,ELECTRO_7602,smartwatch,apple,128091,1,7,smartwatch apple,0.0,0.7000000000000001,7.80694974666448e-06,0.00011792682100587805,1.226317912481786
1540,ELECTRO_4302,tablet,boat,77260,4,7,tablet boat,0.75,0.7000000000000001,5.177323323841574e-05,0.004667176755480312,0.049931352356412155
206,ELECTRO_2091,smartwatch,lenovo,42342,5,0,smartwatch lenovo,1.0,0.0,0.00011808606112134524,0.011528653413106608,-0.7581791689093077
1748,ELECTRO_9590,mobile,boat,85927,1,2,mobile boat,0.0,0.2,1.1637785562163232e-05,0.0005143085071201857,0.2505125393605359
89,ELECTRO_6986,laptop,dell,11733,1,7,laptop dell,0.0,0.7000000000000001,8.522969402539845e-05,0.008128961331187809,-1.4665661024513896
709,ELECTRO_3955,accessories,samsung,134526,3,1,accessories samsung,0.5,0.1,2.2300521832210875e-05,0.0016175960362317414,1.3752437159168311
1942,ELECTRO_1017,tablet,hp,8100,4,9,tablet hp,0.75,0.9,0.0004938271604938272,0.0504070856103678,-1.5506449593091238
2756,ELECTRO_6347,smartwatch,apple,81018,4,10,smartwatch apple,0.75,1.0,4.93717445505937e-05,0.004418691521158308,0.13690309583875865
1873,ELECTRO_6898,camera,oneplus,96051,4,4,camera oneplus,0.75,0.4,4.1644543003196216e-05,0.0036191476811663742,0.4848132128611416
1875,ELECTRO_6403,camera,boat,60673,4,1,camera boat,0.75,0.1,6.592718342590609e-05,0.0061317048403950955,-0.33394313118315183
126,ELECTRO_1207,tablet,samsung,117373,1,1,tablet samsung,0.0,0.1,8.519846983548175e-06,0.00019169124798521593,0.9782702417410224
