user_id,product_id,category,brand,price,rating,purchase_count
2633,ELECTRO_1133,Laptop,Xiaomi,37710,3,9
631,ELECTRO_6595,Smartwatch,Xiaomi,79501,2,6
1261,ELECTRO_4275,Smartwatch,Sony,143595,4,2
2513,ELECTRO_8026,Headphones,Apple,31493,1,8
1894,ELECTRO_8453,Mobile,Samsung,7471,1,5
372,ELECTRO_5017,Accessories,Samsung,71417,5,2
1761,ELECTRO_1344,Tablet,Xiaomi,89409,2,10
2017,ELECTRO_5378,Laptop,HP,41446,1,2
1140,ELECTRO_9636,Mobile,Apple,119464,5,4
695,ELECTRO_5330,Laptop,Sony,58458,5,5
396,ELECTRO_3132,Mobile,Samsung,130674,2,0
1167,ELECTRO_9566,Accessories,Dell,39842,2,8
1633,ELECTRO_7031,Laptop,OnePlus,9120,5,1
2964,ELECTRO_7602,Smartwatch,Apple,128091,1,7
1540,ELECTRO_4302,Tablet,Boat,77260,4,7
206,ELECTRO_2091,Smartwatch,Lenovo,42342,5,0
1748,ELECTRO_9590,Mobile,Boat,85927,1,2
89,ELECTRO_6986,Laptop,Dell,11733,1,7
709,ELECTRO_3955,Accessories,Samsung,134526,3,1
1942,ELECTRO_1017,Tablet,HP,8100,4,9
2756,ELECTRO_6347,Smartwatch,Apple,81018,4,10
1873,ELECTRO_6898,Camera,OnePlus,96051,4,4
1875,ELECTRO_6403,Camera,Boat,60673,4,1
126,ELECTRO_1207,Tablet,Samsung,117373,1,1
815,ELECTRO_5102,Laptop,Samsung,3930,2,1
2488,ELECTRO_4925,Mobile,Apple,82738,3,2
2866,ELECTRO_9759,Mobile,Lenovo,24174,1,8
1650,ELECTRO_4004,Smartwatch,Dell,17213,1,9
1406,ELECTRO_6503,Headphones,Lenovo,85944,4,8
412,ELECTRO_7303,Laptop,Apple,4619,2,3
1129,ELECTRO_3294,Camera,Apple,94641,4,9
1386,ELECTRO_4585,Tablet,Apple,52143,5,8
594,ELECTRO_7851,Laptop,Realme,80456,2,0
2855,ELECTRO_6148,Tablet,Apple,87164,2,8
516,ELECTRO_3911,Accessories,HP,62746,2,10
708,ELECTRO_9444,Headphones,Sony,43273,5,9
2474,ELECTRO_6103,Tablet,Sony,115499,2,1
412,ELECTRO_3456,Headphones,Apple,34303,5,6
2902,ELECTRO_8360,Camera,Xiaomi,61676,3,5
147,ELECTRO_4629,Headphones,Sony,47033,1,9
1402,ELECTRO_5646,Accessories,Sony,43663,5,4
2581,ELECTRO_9429,Headphones,Boat,102692,1,2
2610,ELECTRO_1936,Camera,Boat,85027,5,0
2878,ELECTRO_1681,Headphones,Realme,42731,5,9
1853,ELECTRO_4475,Camera,Xiaomi,74947,4,3
992,ELECTRO_4852,Accessories,Boat,17547,3,8
348,ELECTRO_6223,Tablet,Lenovo,49099,5,3
2469,ELECTRO_4061,Headphones,Sony,80279,4,9
1744,ELECTRO_3352,Headphones,Dell,52713,3,10
2684,ELECTRO_5315,Laptop,HP,46225,1,6
738,ELECTRO_9429,Camera,Realme,94834,5,5
1041,ELECTRO_9196,Accessories,Realme,62166,5,0
1201,ELECTRO_7422,Laptop,Samsung,119214,5,6
2368,ELECTRO_7089,Mobile,Realme,34872,1,2
827,ELECTRO_4608,Smartwatch,Xiaomi,18288,4,3
1300,ELECTRO_3056,Laptop,OnePlus,98011,3,8
2606,ELECTRO_2773,Accessories,OnePlus,14889,1,9
619,ELECTRO_9208,Camera,Samsung,103431,2,7
2314,ELECTRO_9421,Camera,HP,94988,5,2
1058,ELECTRO_1372,Mobile,Apple,142344,1,4
2277,ELECTRO_8983,Smartwatch,OnePlus,93386,1,9
1638,ELECTRO_9365,Mobile,Boat,20495,3,5
2014,ELECTRO_5997,Accessories,Samsung,23102,4,6
2563,ELECTRO_5504,Smartwatch,OnePlus,79482,2,7
1428,ELECTRO_1747,Headphones,Sony,109887,4,4
817,ELECTRO_9083,Accessories,Apple,83281,1,6
1510,ELECTRO_2082,Laptop,Samsung,75598,1,6
2659,ELECTRO_7185,Mobile,HP,97110,3,7
1198,ELECTRO_4439,Headphones,Apple,84747,4,2
714,ELECTRO_6302,Headphones,Sony,133143,3,6
2063,ELECTRO_5366,Laptop,HP,27150,5,2
365,ELECTRO_3430,Laptop,Xiaomi,11051,1,1
902,ELECTRO_9478,Accessories,Apple,136872,3,1
2330,ELECTRO_5419,Tablet,Apple,106090,4,2
2583,ELECTRO_1048,Mobile,HP,61360,5,10
2959,ELECTRO_5541,Smartwatch,Xiaomi,106884,4,0
1666,ELECTRO_5894,Headphones,Apple,119577,1,10
1440,ELECTRO_3522,Mobile,OnePlus,90410,2,1
2539,ELECTRO_7340,Camera,Apple,70804,4,4
1762,ELECTRO_2943,Accessories,Xiaomi,105616,4,6
337,ELECTRO_6036,Laptop,Samsung,148486,4,3
1894,ELECTRO_1183,Smartwatch,Dell,70737,2,8
2483,ELECTRO_5050,Camera,Lenovo,76612,1,5
1108,ELECTRO_6059,Headphones,Apple,137832,3,2
2332,ELECTRO_3693,Headphones,Sony,39754,3,3
2446,ELECTRO_6514,Smartwatch,Xiaomi,38664,3,7
2002,ELECTRO_3677,Camera,Realme,102711,2,7
551,ELECTRO_2522,Headphones,HP,86874,4,10
398,ELECTRO_8954,Smartwatch,OnePlus,110894,1,0
